State,Senator,url_link_final
Iowa,Joni Ernst,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Joni_Ernst%2C_official_portrait%2C_116th_Congress_3.jpg/474px-Joni_Ernst%2C_official_portrait%2C_116th_Congress_3.jpg
Kansas,Pat Roberts,https://upload.wikimedia.org/wikipedia/commons/d/d7/Pat_Roberts_official_Senate_photo_%28cropped%29.jpg
Kansas,Jerry Moran,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Jerry_Moran%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg/412px-Jerry_Moran%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg
Kentucky,Mitch McConnell,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Sen_Mitch_McConnell_official_%28cropped%29.jpg/505px-Sen_Mitch_McConnell_official_%28cropped%29.jpg
Kentucky,Rand Paul,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Rand_Paul%2C_official_portrait%2C_112th_Congress_alternate_%28cropped%29.jpg/532px-Rand_Paul%2C_official_portrait%2C_112th_Congress_alternate_%28cropped%29.jpg
Louisiana,Bill Cassidy,https://upload.wikimedia.org/wikipedia/commons/f/f6/Bill_Cassidy_official_Senate_photo_%28cropped%29.jpg
Louisiana,John Kennedy,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/John_Neely_Kennedy%2C_official_portrait%2C_115th_Congress.jpg/473px-John_Neely_Kennedy%2C_official_portrait%2C_115th_Congress.jpg
Maine,Susan Collins,https://upload.wikimedia.org/wikipedia/commons/a/aa/Susan_Collins_official_Senate_photo_%28cropped%29.jpg
Maine,Angus King,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Angus_King%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg/614px-Angus_King%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg
Maryland,Benjamin Cardin,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Ben_Cardin_official_Senate_portrait_%28cropped%29.jpg/437px-Ben_Cardin_official_Senate_portrait_%28cropped%29.jpg
Maryland,Chris Van Hollen,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Chris_Van_Hollen_official_portrait_115th_Congress_%28cropped%29.jpg/451px-Chris_Van_Hollen_official_portrait_115th_Congress_%28cropped%29.jpg
Massachusetts,Elizabeth Warren,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Elizabeth_Warren%2C_official_portrait%2C_114th_Congress_%28cropped%29.jpg/409px-Elizabeth_Warren%2C_official_portrait%2C_114th_Congress_%28cropped%29.jpg
Massachusetts,Edward Markey,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Edward_Markey%2C_official_portrait%2C_114th_Congress_%28cropped%29.jpg/425px-Edward_Markey%2C_official_portrait%2C_114th_Congress_%28cropped%29.jpg
Michigan,Debbie Stabenow,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Debbie_Stabenow%2C_official_photo%2C_116th_Congress_%28cropped%29.jpg/552px-Debbie_Stabenow%2C_official_photo%2C_116th_Congress_%28cropped%29.jpg
Michigan,Gary Peters,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Gary_Peters_official_photo_115th_congress_%28cropped%29.jpg/607px-Gary_Peters_official_photo_115th_congress_%28cropped%29.jpg
Minnesota,Amy Klobuchar,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Amy_Klobuchar%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg/413px-Amy_Klobuchar%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg
Minnesota,Tina Smith,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Tina_Smith%2C_official_portrait%2C_116th_congress_%28cropped%29.jpg/480px-Tina_Smith%2C_official_portrait%2C_116th_congress_%28cropped%29.jpg
Mississippi,Roger Wicker,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Roger_F._Wicker_crop.jpg/598px-Roger_F._Wicker_crop.jpg
Mississippi,Cindy Hyde-Smith,https://upload.wikimedia.org/wikipedia/commons/a/a2/Cindy_Hyde-Smith_official_photo_%28cropped%29.jpg
Missouri,Roy Blunt,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Roy_Blunt%2C_Official_Portrait%2C_112th_Congress_%28cropped%29.jpg/447px-Roy_Blunt%2C_Official_Portrait%2C_112th_Congress_%28cropped%29.jpg
Missouri,Joshua Hawley,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Josh_Hawley_%28cropped%29.jpg/446px-Josh_Hawley_%28cropped%29.jpg
Montana,Jon Tester,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/JonTester_%28cropped%29.jpg/435px-JonTester_%28cropped%29.jpg
Montana,Steve Daines,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Steve_Daines_official_Senate_portrait_%28cropped%29.jpg/419px-Steve_Daines_official_Senate_portrait_%28cropped%29.jpg
Nebraska,Deb Fischer,https://upload.wikimedia.org/wikipedia/commons/0/0b/Deb_Fischer%2C_official_portrait%2C_115th_Congress_%28cropped%29.jpg
Nebraska,Benjamin Sasse,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Ben_Sasse_Official_photo_%28cropped%29.jpg/436px-Ben_Sasse_Official_photo_%28cropped%29.jpg
Nevada,Catherine Cortez Masto,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Catherine_Cortez_Masto_official_portrait_%28cropped%29.jpg/446px-Catherine_Cortez_Masto_official_portrait_%28cropped%29.jpg
Nevada,Jacky Rosen,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Jacky_Rosen%2C_official_portrait%2C_116th_congress_%28cropped-1%29.jpg/450px-Jacky_Rosen%2C_official_portrait%2C_116th_congress_%28cropped-1%29.jpg
New Hampshire,Jeanne Shaheen,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Jeanne_Shaheen%2C_official_Senate_photo_portrait%2C_2009_%28cropped%29.jpg/539px-Jeanne_Shaheen%2C_official_Senate_photo_portrait%2C_2009_%28cropped%29.jpg
New Hampshire,Margaret Hassan,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Maggie_Hassan%2C_official_portrait%2C_115th_Congress_%28cropped%29.jpg/435px-Maggie_Hassan%2C_official_portrait%2C_115th_Congress_%28cropped%29.jpg
New Jersey,Robert Menendez,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Robert_Menendez_official_Senate_portrait_%28cropped%29.jpg/446px-Robert_Menendez_official_Senate_portrait_%28cropped%29.jpg
New Jersey,Cory Booker,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Cory_Booker%2C_official_portrait%2C_114th_Congress.jpg/482px-Cory_Booker%2C_official_portrait%2C_114th_Congress.jpg
New Mexico,Tom Udall,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Tom_Udall_official_photo_%28cropped%29.jpg/456px-Tom_Udall_official_photo_%28cropped%29.jpg
